date,name,id,diameter_min_m,diameter_max_m,potentially_hazardous,unique_id
2023-12-04,(2023 KL2),54359836,18.7307417731,41.8832118738,False,54359836_(2023 KL2)_2023-12-04
2023-12-04,(2023 MQ3),54374051,24.4655496172,54.706632051,False,54374051_(2023 MQ3)_2023-12-04
2023-12-04,(2023 WB2),54407416,37.5452479361,83.9537266171,False,54407416_(2023 WB2)_2023-12-04
2023-12-04,(2023 XA),54412201,15.2249185036,34.043952726,False,54412201_(2023 XA)_2023-12-04
2023-12-04,(2023 XB),54412200,4.53476699,10.1400472517,False,54412200_(2023 XB)_2023-12-04
2023-12-04,(2023 XP),54412467,16.0160337979,35.8129403019,False,54412467_(2023 XP)_2023-12-04
2023-12-04,(2023 XX2),54414143,10.012786977,22.3892723248,False,54414143_(2023 XX2)_2023-12-04
2023-12-04,(2023 XG7),54415308,11.4433973069,25.5882142717,False,54415308_(2023 XG7)_2023-12-04
2023-12-04,(2024 AJ3),54419813,255.0086878569,570.2167609011,False,54419813_(2024 AJ3)_2023-12-04
2023-12-07,337252 (2000 SD8),2337252,182.2027705911,407.4177807305,False,2337252_337252 (2000 SD8)_2023-12-07
2023-12-07,455322 (2002 NX18),2455322,795.3439404105,1778.4431162503,False,2455322_455322 (2002 NX18)_2023-12-07
2023-12-07,(2001 WK15),3092517,143.4019234645,320.6564489709,False,3092517_(2001 WK15)_2023-12-07
2023-12-07,(2015 HW10),3717054,19.2555078188,43.0566244241,False,3717054_(2015 HW10)_2023-12-07
2023-12-07,(2018 GQ),3802401,54.0200493507,120.792502496,False,3802401_(2018 GQ)_2023-12-07
2023-12-07,(2018 RP8),3830496,294.1406017813,657.7183805256,False,3830496_(2018 RP8)_2023-12-07
2023-12-07,(2018 XW2),3836859,21.6050351196,48.3103271838,False,3836859_(2018 XW2)_2023-12-07
2023-12-07,(2020 BF6),3989146,22.1082810359,49.435619262,False,3989146_(2020 BF6)_2023-12-07
2023-12-07,(2021 EL3),54131345,4.5978518828,10.2811093604,False,54131345_(2021 EL3)_2023-12-07
2023-12-07,(2023 VX2),54402977,21.6050351196,48.3103271838,False,54402977_(2023 VX2)_2023-12-07
2023-12-07,(2023 VL8),54404882,73.884778657,165.2113875797,False,54404882_(2023 VL8)_2023-12-07
2023-12-07,(2023 XD),54412203,11.1315329608,24.8908643942,False,54412203_(2023 XD)_2023-12-07
2023-12-07,(2023 XH),54412460,12.2054831812,27.2922900914,False,54412460_(2023 XH)_2023-12-07
2023-12-07,(2023 XT),54412471,4.7924211552,10.7161794798,False,54412471_(2023 XT)_2023-12-07
2023-12-07,(2023 XY),54412476,14.6742183361,32.8125497162,False,54412476_(2023 XY)_2023-12-07
2023-12-07,(2023 XQ1),54413288,8.8829041639,19.8627775481,False,54413288_(2023 XQ1)_2023-12-07
2023-12-07,(2023 XG2),54414130,3.3927743538,7.5864740875,False,54414130_(2023 XG2)_2023-12-07
2023-12-07,(2023 XG10),54415883,195.2337861562,436.5560173498,True,54415883_(2023 XG10)_2023-12-07
2023-12-07,(2023 XS10),54415895,18.644681832,41.6907759952,False,54415895_(2023 XS10)_2023-12-07
2023-12-07,(2023 XH11),54416582,27.0741590945,60.5396601689,False,54416582_(2023 XH11)_2023-12-07
2023-12-07,(2023 XQ12),54416719,28.6124453783,63.9793728683,False,54416719_(2023 XQ12)_2023-12-07
2023-12-07,(2023 XS17),54417540,27.0741590945,60.5396601689,False,54417540_(2023 XS17)_2023-12-07
2023-12-07,(2024 GE6),54434349,31.5177333263,70.4757942143,False,54434349_(2024 GE6)_2023-12-07
2023-12-07,(2024 HT),54435538,21.8049440483,48.7573371375,False,54435538_(2024 HT)_2023-12-07
2023-12-06,139622 (2001 QQ142),2139622,540.2004935068,1207.9250249602,True,2139622_139622 (2001 QQ142)_2023-12-06
2023-12-06,153315 (2001 NH6),2153315,327.0054392819,731.2063912466,False,2153315_153315 (2001 NH6)_2023-12-06
2023-12-06,215442 (2002 MQ3),2215442,525.4785303417,1175.0057145608,False,2215442_215442 (2002 MQ3)_2023-12-06
2023-12-06,(2017 MZ2),3776011,19.978136523,44.6724713292,False,3776011_(2017 MZ2)_2023-12-06
2023-12-06,(2017 TH2),3785685,4.6190746028,10.328564805,False,3785685_(2017 TH2)_2023-12-06
2023-12-06,(2017 WY14),3789672,94.7447112647,211.8556148964,False,3789672_(2017 WY14)_2023-12-06
2023-12-06,(2018 BJ3),3797855,61.7383440472,138.0511341077,False,3797855_(2018 BJ3)_2023-12-06
2023-12-06,(2020 CB),3989355,7.6657557353,17.1411509231,False,3989355_(2020 CB)_2023-12-06
2023-12-06,(2020 DB4),54005704,22.1082810359,49.435619262,False,54005704_(2020 DB4)_2023-12-06
2023-12-06,(2020 FE6),54016401,258.5562120799,578.1492662155,False,54016401_(2020 FE6)_2023-12-06
2023-12-06,(2022 BB3),54240297,68.9532874451,154.1842379994,False,54240297_(2022 BB3)_2023-12-06
2023-12-06,(2023 MO),54373549,28.7445144255,64.2746882356,False,54373549_(2023 MO)_2023-12-06
2023-12-06,(2023 TB27),54395894,31.3729224956,70.151987353,False,54395894_(2023 TB27)_2023-12-06
2023-12-06,(2023 VU1),54402473,77.7239702031,173.7960808552,False,54402473_(2023 VU1)_2023-12-06
2023-12-06,(2023 VV5),54404090,93.4447650924,208.9488468882,False,54404090_(2023 VV5)_2023-12-06
2023-12-06,(2023 VN8),54404884,27.4507981651,61.3818507339,False,54404884_(2023 VN8)_2023-12-06
2023-12-06,(2023 XK),54412462,24.3531406274,54.4552779086,False,54412462_(2023 XK)_2023-12-06
2023-12-06,(2023 XL),54412463,20.0703514113,44.8786700881,False,54412463_(2023 XL)_2023-12-06
2023-12-06,(2023 XC1),54413269,13.444819516,30.0635303831,False,54413269_(2023 XC1)_2023-12-06
2023-12-06,(2023 XF1),54413273,12.14940408,27.1668934089,False,54413273_(2023 XF1)_2023-12-06
2023-12-06,(2023 XJ1),54413276,7.9168966694,17.7027191237,False,54413276_(2023 XJ1)_2023-12-06
2023-12-06,(2023 XK1),54413277,12.9585072669,28.9761031358,False,54413277_(2023 XK1)_2023-12-06
2023-12-06,(2023 XK2),54414133,11.6025908209,25.9441817907,False,54414133_(2023 XK2)_2023-12-06
2023-12-06,(2023 XU10),54415896,7.8082727749,17.4598287116,False,54415896_(2023 XU10)_2023-12-06
2023-12-06,(2023 YJ),54417551,7.1212294074,15.9235530382,False,54417551_(2023 YJ)_2023-12-06
2023-12-06,(2024 GX2),54433561,44.1118199997,98.6370281305,False,54433561_(2024 GX2)_2023-12-06
